timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T16:00:05.983910,mistralai/mistral-large-2512,set1,Acute myocardial infarction,Acute myocardial infarction (disorder),disorder,Primitive,Myocardial infarction (disorder),Ischemic heart disease (disorder),Acute subendocardial myocardial infarction (disorder)|Acute transmural myocardial infarction (disorder)|Acute myocardial infarction of anterior wall (disorder)|Acute myocardial infarction of inferior wall (disorder)|Acute myocardial infarction of lateral wall (disorder)|Acute myocardial infarction of posterior wall (disorder)|Acute myocardial infarction of septal wall (disorder)|Acute myocardial infarction of unspecified site (disorder),Chronic myocardial infarction (disorder)|Old myocardial infarction (disorder)|Silent myocardial infarction (disorder)|Subsequent myocardial infarction (disorder)
2026-03-05T16:00:09.894838,mistralai/mistral-large-2512,set1,Atrial fibrillation,Atrial fibrillation (disorder),disorder,Primitive,Atrial arrhythmia (disorder),Cardiac arrhythmia (disorder),Acute atrial fibrillation (disorder)|Chronic atrial fibrillation (disorder)|Episodic atrial fibrillation (disorder)|Lone atrial fibrillation (disorder)|Nonrheumatic atrial fibrillation (disorder)|Paroxysmal atrial fibrillation (disorder)|Permanent atrial fibrillation (disorder)|Persistent atrial fibrillation (disorder)|Postoperative atrial fibrillation (disorder)|Recurrent atrial fibrillation (disorder)|Secondary atrial fibrillation (disorder)|Valvular atrial fibrillation (disorder),Atrial flutter (disorder)|Atrial tachycardia (disorder)|Atrioventricular nodal reentrant tachycardia (disorder)|Atrioventricular reentrant tachycardia (disorder)|Multifocal atrial tachycardia (disorder)|Sinoatrial node reentry tachycardia (disorder)
2026-03-05T16:00:13.294283,mistralai/mistral-large-2512,set1,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial (disorder)",disorder,Primitive,"Hypertensive disorder, systemic arterial (disorder)",Hypertensive disorder (disorder),"Essential hypertension (disorder)|Hypertension secondary to another disorder (disorder)|Hypertensive crisis (disorder)|Hypertensive urgency (disorder)|Hypertensive emergency (disorder)|Hypertension in pregnancy, childbirth and the puerperium (disorder)|White coat hypertension (disorder)|Masked hypertension (disorder)|Resistant hypertension (disorder)","Hypertensive disorder, systemic venous (disorder)|Hypertensive disorder, pulmonary (disorder)"
2026-03-05T16:00:16.995067,mistralai/mistral-large-2512,set1,Atherosclerosis,Atherosclerosis (disorder),disorder,Primitive,Arteriosclerosis (disorder),Arterial disorder (disorder),Atherosclerosis of aorta (disorder)|Atherosclerosis of coronary artery (disorder)|Atherosclerosis of artery of extremity (disorder)|Atherosclerosis of renal artery (disorder)|Atherosclerosis of artery of neck (disorder)|Atherosclerosis of mesenteric artery (disorder)|Generalized atherosclerosis (disorder)|Atherosclerosis of other artery (disorder),Mönckeberg's medial calcific sclerosis (disorder)|Arteriolosclerosis (disorder)|Hyaline arteriolosclerosis (disorder)|Hyperplastic arteriolosclerosis (disorder)
2026-03-05T16:00:20.667838,mistralai/mistral-large-2512,set1,Embolus,Embolus (morphologic abnormality),morphologic abnormality,Primitive,Abnormal body substance (morphologic abnormality),"Body structure, altered from its original anatomy (morphologic abnormality)",Fat embolus (morphologic abnormality)|Thromboembolus (morphologic abnormality)|Air embolus (morphologic abnormality)|Amniotic fluid embolus (morphologic abnormality)|Foreign body embolus (morphologic abnormality)|Septic embolus (morphologic abnormality),Mass (morphologic abnormality)|Obstruction (morphologic abnormality)|Congenital anomaly (morphologic abnormality)|Structural change due to injury (morphologic abnormality)
2026-03-05T16:00:23.613713,mistralai/mistral-large-2512,set1,Ventricular tachycardia,Ventricular tachycardia (disorder),disorder,Primitive,Ventricular arrhythmia (disorder),Cardiac arrhythmia (disorder),Bidirectional ventricular tachycardia (disorder)|Incessant ventricular tachycardia (disorder)|Monomorphic ventricular tachycardia (disorder)|Nonsustained ventricular tachycardia (disorder)|Polymorphic ventricular tachycardia (disorder)|Sustained ventricular tachycardia (disorder)|Torsades de pointes (disorder),Accelerated idioventricular rhythm (disorder)|Ventricular fibrillation (disorder)|Ventricular flutter (disorder)
2026-03-05T16:00:27.481385,mistralai/mistral-large-2512,set1,Apnea,Apnea (disorder),disorder,Primitive,Breathing finding (finding)|Disorder of respiratory system (disorder),Clinical finding (finding)|Disorder of body system (disorder),Apnea of prematurity (disorder)|Central apnea (disorder)|Mixed apnea (disorder)|Obstructive apnea (disorder)|Sleep apnea (disorder)|Apnea of newborn (disorder),Bradypnea (finding)|Tachypnea (finding)|Hypoventilation (finding)|Hyperventilation (finding)|Dyspnea (finding)|Respiratory arrest (disorder)|Respiratory failure (disorder)|Hypoxia (finding)
2026-03-05T16:00:39.387922,mistralai/mistral-large-2512,set1,Cyanosis,Cyanosis (finding),finding,Primitive,Discoloration of skin and mucous membrane (finding),Skin AND/OR mucous membrane finding (finding),Central cyanosis (finding)|Peripheral cyanosis (finding),Pallor (finding)|Erythema of skin (finding)|Jaundice (finding)|Pigmentation of skin (finding)|Depigmentation of skin (finding)|Skin lesion (finding)|Skin edema (finding)|Skin ulcer (finding)|Skin rash (finding)|Skin tenderness (finding)|Skin dryness (finding)|Skin moisture finding (finding)|Skin temperature finding (finding)|Skin turgor finding (finding)|Skin thickening (finding)|Skin atrophy (finding)|Skin sclerosis (finding)|Skin induration (finding)|Skin fragility (finding)|Skin blister (finding)|Skin nodule (finding)|Skin papule (finding)|Skin plaque (finding)|Skin pustule (finding)|Skin vesicle (finding)|Skin wheal (finding)|Skin macule (finding)|Skin patch (finding)|Skin crust (finding)|Skin scale (finding)|Skin erosion (finding)|Skin fissure (finding)|Skin excoriation (finding)|Skin scar (finding)|Skin sinus (finding)|Skin fistula (finding)|Skin striae (finding)|Skin telangiectasia (finding)|Skin varicosity (finding)|Skin petechiae (finding)|Skin purpura (finding)|Skin ecchymosis (finding)|Skin hematoma (finding)|Skin gangrene (finding)|Skin necrosis (finding)|Skin abscess (finding)|Skin cyst (finding)|Skin tumor (finding)|Skin hypertrophy (finding)|Skin hyperplasia (finding)|Skin hyperkeratosis (finding)|Skin callus (finding)|Skin corn (finding)|Skin horn (finding)|Skin verruca (finding)|Skin molluscum contagiosum (finding)|Skin milium (finding)|Skin comedo (finding)|Skin burrow (finding)|Skin infestation (finding)|Skin infection (finding)|Skin inflammation (finding)|Skin allergy (finding)|Skin hypersensitivity (finding)|Skin photosensitivity (finding)|Skin sunburn (finding)|Skin frostbite (finding)|Skin burn (finding)|Skin wound (finding)|Skin trauma (finding)|Skin foreign body (finding)|Skin calcification (finding)|Skin ossification (finding)|Skin amyloid (finding)|Skin xanthoma (finding)|Skin tophus (finding)|Skin gouty deposit (finding)|Skin calcinosis (finding)|Skin myxedema (finding)|Skin scleromyxedema (finding)|Skin lipoatrophy (finding)|Skin lipodystrophy (finding)|Skin hirsutism (finding)|Skin hypertrichosis (finding)|Skin alopecia (finding)|Skin hair color change (finding)|Skin nail finding (finding)|Skin vascular finding (finding)|Skin texture finding (finding)|Skin elasticity finding (finding)|Skin odor (finding)
2026-03-05T16:00:42.179726,mistralai/mistral-large-2512,set1,Bronchitis,Bronchitis (disorder),disorder,Primitive,Inflammatory disorder of lower respiratory tract (disorder),Inflammatory disorder of respiratory system (disorder),Acute bronchitis (disorder)|Acute bronchiolitis (disorder)|Acute tracheobronchitis (disorder)|Chronic bronchitis (disorder)|Chronic tracheobronchitis (disorder)|Recurrent bronchitis (disorder),Bronchiolitis (disorder)|Tracheitis (disorder)|Tracheobronchitis (disorder)
2026-03-05T16:00:44.628982,mistralai/mistral-large-2512,set1,Hyperglycemia,Hyperglycemia (disorder),disorder,Primitive,Abnormal glucose level (disorder),Abnormality of glucose (disorder),Diabetic hyperglycemia (disorder)|Non-diabetic hyperglycemia (disorder)|Transient hyperglycemia (disorder),Hypoglycemia (disorder)|Impaired glucose tolerance (disorder)|Impaired fasting glucose (disorder)
2026-03-05T16:00:47.092836,mistralai/mistral-large-2512,set1,Blood in urine,Blood in urine (finding),finding,Primitive,Hematuria (finding),Urine abnormality (finding),Microscopic hematuria (finding)|Macroscopic hematuria (finding),Hemoglobinuria (finding)|Myoglobinuria (finding)|Urine color abnormal (finding)|Urine odor abnormal (finding)|Urine sediment present (finding)
2026-03-05T16:00:49.947553,mistralai/mistral-large-2512,set1,Oliguria,Oliguria (finding),finding,Primitive,Decreased urine output (finding),Abnormal urine output (finding),None,Anuria (finding)|Polyuria (finding)|Nocturia (finding)|Urinary frequency (finding)|Urinary hesitancy (finding)|Urinary retention (finding)|Dysuria (finding)|Hematuria (finding)|Proteinuria (finding)|Glycosuria (finding)|Pyuria (finding)
2026-03-05T16:00:52.375282,mistralai/mistral-large-2512,set1,Polyuria,Polyuria (finding),finding,Primitive,Abnormal urine output (finding),Urine finding (finding),No immediate child concepts,Anuria (finding)|Oliguria (finding)|Nocturia (finding)|Urinary frequency (finding)|Urinary hesitancy (finding)|Urinary incontinence (finding)|Urinary retention (finding)|Urinary urgency (finding)
2026-03-05T16:00:57.228660,mistralai/mistral-large-2512,set1,Necrosis,Necrosis (morphologic abnormality),morphologic abnormality,Primitive,Degeneration and necrosis (morphologic abnormality),Morphologically abnormal structure (morphologic abnormality),Acute necrosis (morphologic abnormality)|Caseous necrosis (morphologic abnormality)|Coagulation necrosis (morphologic abnormality)|Fat necrosis (morphologic abnormality)|Fibrinoid necrosis (morphologic abnormality)|Gangrene (morphologic abnormality)|Liquefactive necrosis (morphologic abnormality)|Zenker's necrosis (morphologic abnormality),Amyloid deposition (morphologic abnormality)|Apoptosis (morphologic abnormality)|Atrophy (morphologic abnormality)|Cellular atypia (morphologic abnormality)|Cellular edema (morphologic abnormality)|Cellular infiltration (morphologic abnormality)|Congestion (morphologic abnormality)|Degeneration (morphologic abnormality)|Deposition (morphologic abnormality)|Dystrophic calcification (morphologic abnormality)|Fibrosis (morphologic abnormality)|Hyaline change (morphologic abnormality)|Hyperplasia (morphologic abnormality)|Hypertrophy (morphologic abnormality)|Inflammation (morphologic abnormality)|Metaplasia (morphologic abnormality)|Pigmentation (morphologic abnormality)|Sclerosis (morphologic abnormality)
2026-03-05T16:01:02.453165,mistralai/mistral-large-2512,set1,Ischemia,Ischemia (disorder),disorder,Primitive,Disorder of body system (disorder),Clinical finding (finding),Acute ischemia (disorder)|Chronic ischemia (disorder)|Ischemia of brain (disorder)|Ischemia of kidney (disorder)|Ischemia of limb (disorder)|Ischemia of liver (disorder)|Ischemia of spleen (disorder)|Myocardial ischemia (disorder)|Transient ischemic attack (disorder),Disorder of cardiovascular system (disorder)|Disorder of digestive system (disorder)|Disorder of endocrine system (disorder)|Disorder of hematopoietic structure (disorder)|Disorder of immune function (disorder)|Disorder of integument (disorder)|Disorder of nervous system (disorder)|Disorder of respiratory system (disorder)|Disorder of the genitourinary system (disorder)|Disorder of musculoskeletal system (disorder)
2026-03-05T16:01:08.294623,mistralai/mistral-large-2512,set1,Sepsis,Sepsis (disorder),disorder,Primitive,Systemic inflammatory response syndrome caused by infection (disorder),Systemic inflammatory response syndrome (disorder),Sepsis due to central venous catheter (disorder)|Sepsis due to device (disorder)|Sepsis due to infected burn wound (disorder)|Sepsis due to infected surgical wound (disorder)|Sepsis due to peritoneal dialysis catheter (disorder)|Sepsis due to urinary catheter (disorder)|Sepsis in asplenic patient (disorder)|Sepsis in transplant recipient (disorder)|Sepsis in utero (disorder)|Sepsis with acute organ dysfunction (disorder)|Severe sepsis (disorder)|Sepsis caused by Bacteroides (disorder)|Sepsis caused by Candida (disorder)|Sepsis caused by Escherichia coli (disorder)|Sepsis caused by Klebsiella (disorder)|Sepsis caused by Pseudomonas (disorder)|Sepsis caused by Staphylococcus (disorder)|Sepsis caused by Streptococcus (disorder)|Sepsis caused by anaerobe (disorder)|Sepsis caused by gram-negative bacteria (disorder)|Sepsis caused by gram-positive bacteria (disorder)|Neonatal sepsis (disorder),Systemic inflammatory response syndrome caused by non-infectious cause (disorder)
2026-03-05T16:01:11.633146,mistralai/mistral-large-2512,set1,Malignant,Malignant (qualifier value),qualifier value,Primitive,Clinical course (qualifier value),Course value (qualifier value),Malignant: active (qualifier value)|Malignant: dormant (qualifier value)|Malignant: in remission (qualifier value)|Malignant: relapsing (qualifier value)|Malignant: terminal (qualifier value),Acute (qualifier value)|Chronic (qualifier value)|Intermittent (qualifier value)|Paroxysmal (qualifier value)|Progressive (qualifier value)|Recurrent (qualifier value)|Subacute (qualifier value)
2026-03-05T16:01:14.935941,mistralai/mistral-large-2512,set1,Benign,Benign (qualifier value),qualifier value,Primitive,Clinical course (qualifier value),Course value (qualifier value),"Benign, without specification (qualifier value)|Benign, confirmed (qualifier value)|Benign, probable (qualifier value)",Chronic (qualifier value)|Fulminant (qualifier value)|Indolent (qualifier value)|Intermediate (qualifier value)|Malignant (qualifier value)|Progressive (qualifier value)|Recurrent (qualifier value)|Subacute (qualifier value)
