timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T15:18:25.486531,claude-sonnet-4-5-20250929,set1,Acute myocardial infarction,Acute myocardial infarction (disorder),disorder,Primitive,Myocardial infarction (disorder),Ischemic heart disease (disorder),Acute non-ST segment elevation myocardial infarction (disorder)|Acute ST segment elevation myocardial infarction (disorder)|Acute myocardial infarction of anterior wall (disorder)|Acute myocardial infarction of inferior wall (disorder)|Acute myocardial infarction of lateral wall (disorder)|Acute posterolateral myocardial infarction (disorder)|Acute posterior myocardial infarction (disorder)|Acute septal myocardial infarction (disorder)|Acute atrial infarction (disorder)|Acute papillary muscle infarction (disorder)|Acute subendocardial infarction (disorder)|Acute transmural myocardial infarction (disorder)|First myocardial infarction (disorder)|Recurrent myocardial infarction (disorder),Old myocardial infarction (disorder)|Subsequent myocardial infarction (disorder)|Silent myocardial infarction (disorder)|Microinfarction of heart (disorder)
2026-03-05T15:18:29.734600,claude-sonnet-4-5-20250929,set1,Atrial fibrillation,Atrial fibrillation (disorder),disorder,Primitive,Supraventricular arrhythmia (disorder),Cardiac arrhythmia (disorder),Paroxysmal atrial fibrillation (disorder)|Persistent atrial fibrillation (disorder)|Permanent atrial fibrillation (disorder)|Chronic atrial fibrillation (disorder)|Familial atrial fibrillation (disorder)|Non-valvular atrial fibrillation (disorder),Atrial flutter (disorder)|Supraventricular tachycardia (disorder)|Wolff-Parkinson-White syndrome (disorder)|Atrioventricular nodal reentry tachycardia (disorder)|Atrioventricular reentrant tachycardia (disorder)
2026-03-05T15:18:34.668892,claude-sonnet-4-5-20250929,set1,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial (disorder)",disorder,Primitive,Disorder of cardiovascular system (disorder),Disease (disorder),Essential hypertension (disorder)|Secondary hypertension (disorder)|Hypertensive crisis (disorder)|Transient hypertension (disorder)|Labile hypertension (disorder)|Hypertension in chronic kidney disease stage 5 (disorder)|Hypertension in chronic kidney disease stage 4 (disorder)|Hypertension in chronic kidney disease stage 3 (disorder)|Hypertension in chronic kidney disease stage 2 (disorder),Disorder of artery (disorder)|Heart disease (disorder)|Disorder of vein (disorder)|Vascular headache (disorder)|Peripheral vascular disease (disorder)
2026-03-05T15:18:39.853878,claude-sonnet-4-5-20250929,set1,Atherosclerosis,Atherosclerosis (disorder),disorder,Primitive,Arterial disorder (disorder),Disorder of artery (disorder),Atherosclerosis of artery (disorder)|Atherosclerotic heart disease (disorder)|Cerebral atherosclerosis (disorder)|Renal atherosclerosis (disorder),Arterial embolism (disorder)|Arterial thrombosis (disorder)|Arteriosclerosis (disorder)|Arteriovenous fistula (disorder)|Disorder of artery of abdomen (disorder)|Disorder of artery of head and/or neck (disorder)|Disorder of artery of lower limb (disorder)|Disorder of artery of thorax (disorder)|Disorder of artery of upper limb (disorder)|Hemorrhage of artery (disorder)|Peripheral arterial occlusive disease (disorder)
2026-03-05T15:18:44.822209,claude-sonnet-4-5-20250929,set1,Embolus,Embolus (morphologic abnormality),morphologic abnormality,Primitive,Abnormal mass of material (morphologic abnormality),Morphologically abnormal structure (morphologic abnormality),Septic embolus (morphologic abnormality)|Tumor embolus (morphologic abnormality)|Fat embolus (morphologic abnormality)|Air embolus (morphologic abnormality)|Thromboembolus (morphologic abnormality)|Amniotic fluid embolus (morphologic abnormality)|Atheroembolus (morphologic abnormality)|Foreign body embolus (morphologic abnormality),Thrombus (morphologic abnormality)|Foreign body (morphologic abnormality)|Calculus (morphologic abnormality)
2026-03-05T15:18:49.975648,claude-sonnet-4-5-20250929,set1,Ventricular tachycardia,Ventricular tachycardia (disorder),disorder,Primitive,Tachyarrhythmia (disorder),Cardiac arrhythmia (disorder),Sustained ventricular tachycardia (disorder)|Non-sustained ventricular tachycardia (disorder)|Torsades de pointes (disorder)|Ventricular tachycardia with normal heart (disorder)|Monomorphic ventricular tachycardia (disorder)|Polymorphic ventricular tachycardia (disorder)|Idiopathic ventricular tachycardia (disorder),Supraventricular tachycardia (disorder)|Sinus tachycardia (disorder)|Atrioventricular nodal re-entry tachycardia (disorder)|Atrioventricular re-entrant tachycardia (disorder)|Atrial tachycardia (disorder)|Paroxysmal tachycardia (disorder)
2026-03-05T15:18:53.881565,claude-sonnet-4-5-20250929,set1,Apnea,Apnea (finding),finding,Primitive,Abnormal respiratory rhythm (finding),Abnormal breath sounds (finding),Obstructive sleep apnea syndrome (disorder)|Central sleep apnea syndrome (disorder)|Sleep apnea (disorder)|Apnea of prematurity (finding)|Primary sleep apnea of newborn (disorder),Periodic breathing (finding)|Cheyne-Stokes respiration (finding)|Biot's respiration (finding)
2026-03-05T15:18:58.114722,claude-sonnet-4-5-20250929,set1,Cyanosis,Cyanosis (finding),finding,Primitive,Abnormal color of skin (finding),Observation of skin appearance (finding),Acrocyanosis (finding)|Central cyanosis (finding)|Peripheral cyanosis (finding)|Cyanosis of lip (finding)|Cyanosis of nail bed (finding)|Differential cyanosis (finding)|Tardive cyanosis (finding),Pallor (finding)|Erythema (finding)|Jaundice (finding)|Skin pigmentation finding (finding)|Bronze discoloration of skin (finding)|Gray skin (finding)|Ashen appearance (finding)
2026-03-05T15:19:01.817070,claude-sonnet-4-5-20250929,set1,Bronchitis,Bronchitis (disorder),disorder,Primitive,Disorder of bronchus (disorder),Disorder of lower respiratory tract (disorder),Acute bronchitis (disorder)|Chronic bronchitis (disorder)|Recurrent bronchitis (disorder)|Catarrhal bronchitis (disorder),Bronchiectasis (disorder)|Tracheobronchitis (disorder)|Disorder of bronchiole (disorder)|Obstruction of bronchus (disorder)|Bronchial hemorrhage (disorder)
2026-03-05T15:19:05.164425,claude-sonnet-4-5-20250929,set1,Hyperglycemia,Hyperglycemia (finding),finding,Primitive,Increased blood glucose level (finding),Abnormal blood glucose level (finding),Postprandial hyperglycemia (finding)|Fasting hyperglycemia (finding)|Persistent hyperglycemia (finding)|Transient neonatal hyperglycemia (finding)|Hyperglycemia due to type 1 diabetes mellitus (finding)|Hyperglycemia due to type 2 diabetes mellitus (finding),Severe hyperglycemia (finding)
