timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T09:47:41.993958,deepseek-chat,set1,Acute myocardial infarction,Acute myocardial infarction (disorder),disorder,Fully defined,Myocardial infarction (disorder),Ischemic heart disease (disorder)|Disease of anatomical entity (disorder)|Myocardial disease (disorder)|Heart disease (disorder),Acute myocardial infarction due to left main coronary artery occlusion (disorder)|Acute myocardial infarction due to occlusion of left anterior descending coronary artery (disorder)|Acute myocardial infarction due to right coronary artery occlusion (disorder)|Acute myocardial infarction due to occlusion of circumflex coronary artery (disorder)|Acute myocardial infarction of anterolateral wall (disorder)|Acute myocardial infarction of anterior wall (disorder)|Acute myocardial infarction of inferior wall (disorder)|Acute myocardial infarction of inferolateral wall (disorder)|Acute myocardial infarction of inferoposterior wall (disorder)|Acute myocardial infarction of lateral wall (disorder)|Acute myocardial infarction of posterolateral wall (disorder)|Acute myocardial infarction of posterior wall (disorder)|Acute myocardial infarction of apical-lateral wall (disorder)|Acute myocardial infarction of apical-anterior wall (disorder)|Acute myocardial infarction of apical-inferior wall (disorder)|Acute myocardial infarction of apical-inferolateral wall (disorder)|Acute myocardial infarction of right ventricle (disorder)|Acute myocardial infarction of atrial wall (disorder)|Acute myocardial infarction of papillary muscle (disorder)|Acute myocardial infarction with non-obstructive coronary arteries (disorder)|Acute ST segment elevation myocardial infarction (disorder)|Acute non-ST segment elevation myocardial infarction (disorder),Acute on chronic myocardial infarction (disorder)|Healed myocardial infarction (disorder)|Old myocardial infarction (disorder)
2026-03-05T09:47:59.191492,deepseek-chat,set1,Atrial fibrillation,Atrial fibrillation (disorder),disorder,Fully defined,Cardiac arrhythmia (disorder),Heart disease (disorder)|Disease of anatomical entity (disorder),Atrial fibrillation and flutter (disorder)|Paroxysmal atrial fibrillation (disorder)|Chronic atrial fibrillation (disorder)|Permanent atrial fibrillation (disorder)|Persistent atrial fibrillation (disorder)|Longstanding persistent atrial fibrillation (disorder)|Non-valvular atrial fibrillation (disorder)|Valvular atrial fibrillation (disorder)|Lone atrial fibrillation (disorder)|Atrial fibrillation with rapid ventricular response (disorder)|Silent atrial fibrillation (disorder)|Postoperative atrial fibrillation (disorder),Atrial flutter (disorder)|Ventricular fibrillation (disorder)|Ventricular flutter (disorder)|Supraventricular tachycardia (disorder)|Atrial tachycardia (disorder)|Atrioventricular nodal re-entry tachycardia (disorder)|Atrioventricular re-entry tachycardia (disorder)|Junctional tachycardia (disorder)|Sinus tachycardia (disorder)|Sinus bradycardia (disorder)|Sick sinus syndrome (disorder)|Heart block (disorder)|Cardiac arrest (disorder)|Premature atrial contraction (disorder)|Premature ventricular contraction (disorder)|Ventricular tachycardia (disorder)|Torsades de pointes (disorder)|Long QT syndrome (disorder)|Brugada syndrome (disorder)|Catecholaminergic polymorphic ventricular tachycardia (disorder)
2026-03-05T09:48:09.556227,deepseek-chat,set1,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial (disorder)",disorder,Primitive,Disorder of systemic artery (disorder),Disorder of artery (disorder)|Vascular disorder (disorder),Benign hypertensive heart and renal disease (disorder)|Hypertensive heart and renal disease (disorder)|Malignant hypertensive heart and renal disease (disorder)|Secondary hypertension (disorder)|Hypertensive disorder (disorder)|Essential hypertension (disorder),Arteriosclerotic vascular disease (disorder)|Arteritis (disorder)|Systemic arterial embolism (disorder)|Systemic arterial occlusion (disorder)|Aneurysm of artery of systemic circulation (disorder)|Dissection of artery of systemic circulation (disorder)|Systemic arterial vasospasm (disorder)
2026-03-05T09:48:18.609756,deepseek-chat,set1,Atherosclerosis,Atherosclerosis (disorder),disorder,Fully defined,Arteriosclerotic vascular disease,Arterial disease|Degenerative disorder of vascular system,Atherosclerosis of artery|Coronary atherosclerosis|Cerebral atherosclerosis|Atherosclerosis of aorta|Atherosclerosis of artery of extremity|Atherosclerosis of non-coronary vessel|Atherosclerosis of renal artery|Atherosclerosis of mesenteric artery|Atherosclerosis of bypass graft|Atherosclerosis of biological graft,Arteriolosclerosis|Medial calcific sclerosis|Monckeberg medial calcific sclerosis
2026-03-05T09:48:26.880206,deepseek-chat,set1,Embolus,Embolus (morphologic abnormality),morphologic abnormality,Primitive,Embolic material (morphologic abnormality),Solid mass (morphologic abnormality)|Non-neoplastic solid mass (morphologic abnormality),Air embolus (morphologic abnormality)|Amniotic fluid embolus (morphologic abnormality)|Cholesterol embolus (morphologic abnormality)|Fat embolus (morphologic abnormality)|Foreign body embolus (morphologic abnormality)|Septic embolus (morphologic abnormality)|Tumor embolus (morphologic abnormality),Thrombus (morphologic abnormality)
2026-03-05T09:48:47.753284,deepseek-chat,set1,Ventricular tachycardia,Ventricular tachycardia (disorder),disorder,Fully defined,Ventricular arrhythmia (disorder),Cardiac arrhythmia (disorder)|Heart disease (disorder),Ventricular flutter (disorder)|Torsades de pointes (disorder)|Ventricular tachycardia due to cardiomyopathy (disorder)|Ventricular tachycardia due to ischemic heart disease (disorder)|Catecholaminergic polymorphic ventricular tachycardia (disorder)|Ventricular tachycardia due to myocarditis (disorder)|Ventricular tachycardia due to drug (disorder)|Ventricular tachycardia due to electrolyte imbalance (disorder)|Ventricular tachycardia due to cardiac surgery (disorder)|Ventricular tachycardia due to myocardial infarction (disorder)|Ventricular tachycardia due to cardiac tumor (disorder)|Ventricular tachycardia due to congenital heart disease (disorder)|Ventricular tachycardia due to cardiac trauma (disorder)|Ventricular tachycardia due to cardiac sarcoidosis (disorder)|Ventricular tachycardia due to cardiac amyloidosis (disorder)|Ventricular tachycardia due to Chagas disease (disorder)|Ventricular tachycardia due to right ventricular dysplasia (disorder)|Ventricular tachycardia due to long QT syndrome (disorder)|Ventricular tachycardia due to Brugada syndrome (disorder)|Ventricular tachycardia due to short QT syndrome (disorder)|Ventricular tachycardia due to early repolarization syndrome (disorder)|Idiopathic ventricular tachycardia (disorder)|Non-sustained ventricular tachycardia (disorder)|Sustained ventricular tachycardia (disorder)|Monomorphic ventricular tachycardia (disorder)|Polymorphic ventricular tachycardia (disorder)|Fascicular ventricular tachycardia (disorder)|Bundle branch reentrant ventricular tachycardia (disorder)|Outflow tract ventricular tachycardia (disorder)|Incessant ventricular tachycardia (disorder),Ventricular fibrillation (disorder)|Accelerated idioventricular rhythm (disorder)|Premature ventricular contraction (disorder)
2026-03-05T09:49:08.031651,deepseek-chat,set1,Apnea,Apnea (disorder),disorder,Primitive,Respiratory finding (disorder),Finding of respiratory function (disorder)|Disorder of respiratory system (disorder),Obstructive sleep apnea syndrome (disorder)|Central sleep apnea syndrome (disorder)|Mixed sleep apnea (disorder)|Apnea of prematurity (disorder)|Apnea of newborn (disorder)|Apnea due to and following administration of anesthetic or sedation in perinatal period (disorder)|Apnea due to and following administration of anesthetic or sedation (disorder)|Apnea due to and following administration of anesthetic or sedation in the obstetric patient (disorder)|Apnea due to and following administration of anesthetic or sedation in non-obstetric patient (disorder)|Apnea due to and following administration of anesthetic or sedation in pediatric patient (disorder)|Apnea due to and following administration of anesthetic or sedation in adult (disorder)|Apnea due to and following administration of anesthetic or sedation in elderly patient (disorder)|Apnea due to and following administration of anesthetic or sedation in neonate (disorder)|Apnea due to and following administration of anesthetic or sedation in infant (disorder)|Apnea due to and following administration of anesthetic or sedation in child (disorder)|Apnea due to and following administration of anesthetic or sedation in adolescent (disorder),Dyspnea (disorder)|Hyperventilation (disorder)|Hypoventilation (disorder)|Tachypnea (disorder)|Bradypnea (disorder)|Respiratory distress (disorder)|Respiratory arrest (disorder)|Respiratory failure (disorder)|Respiratory insufficiency (disorder)|Abnormal pattern of breathing (disorder)|Abnormal respiratory rate (disorder)|Abnormal respiratory rhythm (disorder)
2026-03-05T09:49:14.338399,deepseek-chat,set1,Cyanosis,Cyanosis (disorder),disorder,Primitive,Skin color finding|Blueness of skin,Finding of color of skin|Clinical finding,Acrocyanosis|Central cyanosis|Peripheral cyanosis,Pallor|Erythema|Hyperpigmentation of skin|Hypopigmentation of skin|Jaundice|Paleness
2026-03-05T09:49:26.570662,deepseek-chat,set1,Bronchitis,Bronchitis (disorder),disorder,Primitive,Disorder of lower respiratory tract (disorder)|Disorder of bronchus (disorder),Disorder of respiratory system (disorder)|Disorder of mediastinum (disorder)|Disease (disorder),Acute bronchitis (disorder)|Chronic bronchitis (disorder)|Acute exacerbation of chronic bronchitis (disorder)|Acute bronchiolitis (disorder)|Allergic bronchitis (disorder)|Fibrinous bronchitis (disorder)|Infectious bronchitis (disorder)|Plastic bronchitis (disorder)|Pseudomembranous bronchitis (disorder)|Purulent bronchitis (disorder)|Tracheobronchitis (disorder),Bronchiectasis (disorder)|Bronchospasm (disorder)|Broncholithiasis (disorder)|Bronchus neoplasm (disorder)|Bronchogenic cyst (disorder)|Bronchopleural fistula (disorder)|Bronchostenosis (disorder)
2026-03-05T09:49:34.046980,deepseek-chat,set1,Hyperglycemia,Hyperglycemia (disorder),disorder,Primitive,Disorder of carbohydrate metabolism (disorder)|Disorder of glucose metabolism (disorder),Disorder of metabolism (disorder)|Endocrine disorder (disorder),Hyperglycemia due to type 1 diabetes mellitus (disorder)|Hyperglycemia due to type 2 diabetes mellitus (disorder)|Drug-induced hyperglycemia (disorder)|Postprocedural hyperglycemia (disorder)|Stress hyperglycemia (disorder),Hypoglycemia (disorder)
