timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T01:26:22.581819,gpt-4o,set1,Acute myocardial infarction,Acute myocardial infarction (disorder),disorder,Primitive,Myocardial infarction (disorder),Ischemic heart disease (disorder),Acute ST elevation myocardial infarction (disorder)|Acute non-ST elevation myocardial infarction (disorder),Myocardial infarction with nonobstructive coronary arteries (disorder)|Old myocardial infarction (disorder)
2026-03-05T01:26:25.103694,gpt-4o,set1,Atrial fibrillation,Atrial fibrillation (disorder),disorder,Primitive,Cardiac arrhythmia (disorder),Disorder of cardiovascular system (disorder),Persistent atrial fibrillation (disorder)|Paroxysmal atrial fibrillation (disorder)|Chronic atrial fibrillation (disorder),Ventricular fibrillation (disorder)|Atrial flutter (disorder)|Supraventricular tachycardia (disorder)
2026-03-05T01:26:29.157497,gpt-4o,set1,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial (disorder)",disorder,Primitive,Hypertensive disorder (disorder),Disorder of cardiovascular system (disorder),Hypertensive heart AND renal disease (disorder)|Hypertensive heart disease (disorder)|Hypertensive renal disease (disorder)|Hypertensive retinopathy (disorder)|Hypertensive encephalopathy (disorder),Hypertensive disorder due to drug (disorder)|Secondary hypertension (disorder)|Essential hypertension (disorder)
2026-03-05T01:26:31.965868,gpt-4o,set1,Atherosclerosis,Atherosclerosis (disorder),disorder,Primitive,Arteriosclerosis (disorder),Artery disease (disorder),Coronary atherosclerosis (disorder)|Atherosclerosis of aorta (disorder)|Atherosclerosis of artery of extremity (disorder)|Cerebral atherosclerosis (disorder)|Renal artery atherosclerosis (disorder),Arteriolosclerosis (disorder)|Mönckeberg's arteriosclerosis (disorder)
2026-03-05T01:26:35.038704,gpt-4o,set1,Embolus,Embolus (morphologic abnormality),Morphologic abnormality,Primitive,Abnormal structure (morphologic abnormality),Morphologically abnormal structure (morphologic abnormality),None,Thrombus (morphologic abnormality)|Atheroma (morphologic abnormality)
2026-03-05T01:26:38.108666,gpt-4o,set1,Ventricular tachycardia,Ventricular tachycardia (disorder),Disorder,Primitive,Tachycardia (disorder),Cardiac arrhythmia (disorder),Polymorphic ventricular tachycardia (disorder)|Monomorphic ventricular tachycardia (disorder),Ventricular fibrillation (disorder)|Supraventricular tachycardia (disorder)|Atrial tachycardia (disorder)
2026-03-05T01:26:41.170815,gpt-4o,set1,Apnea,Apnea (finding),finding,Primitive,Disturbance of respiratory rhythm (finding),Respiratory finding (finding),Sleep apnea (disorder)|Central apnea (finding),Bradypnea (finding)|Tachypnea (finding)|Dyspnea (finding)
2026-03-05T01:26:44.459656,gpt-4o,set1,Cyanosis,Cyanosis (finding),Finding,Primitive,Finding of color|Respiratory finding,Clinical finding|Morphologically abnormal structure|Respiratory system finding,Circumoral cyanosis|Acrocyanosis|Central cyanosis|Peripheral cyanosis,Pallor|Jaundice|Erythema
2026-03-05T01:26:48.141659,gpt-4o,set1,Bronchitis,Bronchitis (disorder),disorder,Primitive,Inflammatory disease of the respiratory system (disorder),Disease of the respiratory system (disorder),Acute bronchitis (disorder)|Chronic bronchitis (disorder),Pneumonia (disorder)|Bronchiolitis (disorder)
2026-03-05T01:26:50.189845,gpt-4o,set1,Hyperglycemia,Hyperglycemia (disorder),disorder,Primitive,Disorder of glucose regulation (disorder),Endocrine disorder (disorder),Neonatal hyperglycemia (disorder)|Stress hyperglycemia (disorder)|Hyperglycemia in pregnancy (disorder),Hypoglycemia (disorder)|Diabetes mellitus (disorder)|Impaired glucose tolerance (disorder)
2026-03-05T01:26:54.081237,gpt-4o,set1,Blood in urine,Hematuria (finding),Finding,Primitive,Abnormality of urine (finding),Abnormal finding (finding),Microscopic hematuria (finding)|Gross hematuria (finding),Proteinuria (finding)|Pyuria (finding)|Glycosuria (finding)|Bacteriuria (finding)
2026-03-05T01:26:56.028283,gpt-4o,set1,Oliguria,Oliguria (finding),Finding,Primitive,Decreased urine output (finding),Urinary finding (finding),None,Anuria (finding)|Nocturia (finding)|Polyuria (finding)
2026-03-05T01:26:58.788974,gpt-4o,set1,Polyuria,Polyuria (finding),Finding,Primitive,Excessive urine output (finding),Increased urine output (finding),No immediate child concepts,Oliguria (finding)|Anuria (finding)
2026-03-05T01:27:02.659659,gpt-4o,set1,Necrosis,Necrosis (morphologic abnormality),Morphologic abnormality,Primitive,Morphologically abnormal structure (morphologic abnormality),Abnormal morphology (morphologic abnormality),Coagulation necrosis (morphologic abnormality)|Liquefactive necrosis (morphologic abnormality)|Caseous necrosis (morphologic abnormality),Atrophy (morphologic abnormality)|Hypertrophy (morphologic abnormality)|Hyperplasia (morphologic abnormality)|Metaplasia (morphologic abnormality)
2026-03-05T01:27:06.162658,gpt-4o,set1,Ischemia,Ischemia (disorder),Disorder,Primitive,Disorder of cardiovascular system (disorder),Cardiovascular finding (finding),Cerebral ischemia (disorder)|Myocardial ischemia (disorder)|Intestinal ischemia (disorder),Cardiac arrest (disorder)|Heart failure (disorder)|Hypertension (disorder)
2026-03-05T01:27:09.546249,gpt-4o,set1,Sepsis,Sepsis (disorder),disorder,Primitive,Systemic infectious process (disorder),Infectious process (disorder),Severe sepsis (disorder)|Sepsis due to viral infection (disorder)|Sepsis due to bacterial infection (disorder),Systemic inflammatory response syndrome (disorder)|Septic shock (disorder)
2026-03-05T01:27:12.717976,gpt-4o,set1,Malignant,Malignant (qualifier value),Qualifier value,Primitive,Pathological process (qualifier value),Clinical finding (qualifier value),Malignant neoplasm (disorder),Benign (qualifier value)|Uncertain (qualifier value)
2026-03-05T01:27:16.315681,gpt-4o,set1,Benign,Benign (qualifier value),Qualifier value,Primitive,Clinical finding (finding),Finding by site (finding),Benign neoplasm (disorder),Malignant (qualifier value)|Inactive (qualifier value)|Active (qualifier value)
2026-03-05T01:27:18.805719,gpt-4o,set1,Abscess,Abscess (disorder),disorder,Primitive,Infective disorder (disorder),Disorder of body system (disorder),Brain abscess (disorder)|Liver abscess (disorder)|Lung abscess (disorder)|Skin abscess (disorder),Cellulitis (disorder)|Infective myositis (disorder)|Sepsis (disorder)
2026-03-05T01:27:21.337644,gpt-4o,set1,Edema,Edema (disorder),Disorder,Primitive,Disorder of soft tissue (disorder),Disorder of body system (disorder),Pulmonary edema (disorder)|Cerebral edema (disorder)|Lymphedema (disorder)|Peripheral edema (disorder),Cellulitis (disorder)|Soft tissue mass (disorder)|Soft tissue hemorrhage (disorder)
2026-03-05T01:27:23.760604,gpt-4o,set1,Intubation,Intubation (procedure),Procedure,Primitive,Introduction of tube into organ (procedure),Insertion of device into organ (procedure),Endotracheal intubation (procedure)|Nasogastric intubation (procedure),Catheterization (procedure)|Cannulation (procedure)
2026-03-05T01:27:27.458651,gpt-4o,set1,Biopsy,Biopsy (procedure),Procedure,Primitive,Diagnostic procedure (procedure),Procedure (procedure),Needle biopsy (procedure)|Excisional biopsy (procedure)|Incisional biopsy (procedure),Imaging (procedure)|Laboratory procedure (procedure)|Endoscopy (procedure)|Monitoring procedure (procedure)
2026-03-05T01:27:29.818324,gpt-4o,set1,Venipuncture,Venipuncture (procedure),Procedure,Primitive,Blood collection (procedure),Collection of specimen from patient (procedure),Phlebotomy (procedure)|Venipuncture with catheter (procedure),Arterial blood sampling (procedure)|Capillary blood sampling (procedure)
2026-03-05T01:27:32.789461,gpt-4o,set1,Laparotomy,Laparotomy (procedure),Procedure,Primitive,Exploratory procedure (procedure),Surgical procedure (procedure),Exploratory laparotomy (procedure)|Therapeutic laparotomy (procedure),Exploratory thoracotomy (procedure)|Exploratory arthrotomy (procedure)
2026-03-05T01:27:34.528653,gpt-4o,set1,Opening of chest,Opening of chest (procedure),Procedure,Primitive,Surgical procedure on thorax,Surgical procedure,Median sternotomy|Thoracotomy,Closure of thoracostomy|Repair of thoracic wall
2026-03-05T01:27:36.984712,gpt-4o,set1,Cholecystectomy,Cholecystectomy (procedure),procedure,Primitive,Excision of gallbladder (procedure),Excision of organ (procedure),Open cholecystectomy (procedure)|Laparoscopic cholecystectomy (procedure),Cholecystostomy (procedure)|Cholecystotomy (procedure)
