timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T01:41:27.064784,gpt-4o,set2,Acute myocardial infarction,Myocardial Infarction,Disease or Syndrome,Primitive,Heart Disease|Cardiovascular Disease,Cardiovascular System Disease|Disease,ST-Elevation Myocardial Infarction (STEMI)|Non-ST-Elevation Myocardial Infarction (NSTEMI),Angina Pectoris|Cardiac Arrest|Heart Failure
2026-03-05T01:41:29.233939,gpt-4o,set2,Atrial fibrillation,Atrial Fibrillation,Disease or Syndrome,Fully defined,,,,Atrial Flutter|Ventricular Fibrillation|Supraventricular Tachycardia
2026-03-05T01:41:30.771997,gpt-4o,set2,"Hypertensive disorder, systemic arterial","Hypertensive disorder, systemic arterial",Disease or Syndrome,Primitive,,,Secondary hypertension,"Hypertensive disorder, renal|Hypertensive disorder, pregnancy-induced"
2026-03-05T01:41:32.277367,gpt-4o,set2,Atherosclerosis,Atherosclerosis,Disease or Syndrome,Fully defined,,,Carotid artery disease|Peripheral artery disease,Heart failure|Myocardial infarction|Stroke
2026-03-05T01:41:35.865413,gpt-4o,set2,Embolus,Embolus,Pathological Structure,Primitive,Mass|Pathological Formation,Physical Object|Anatomical Structure,Thromboembolus|Fat Embolus|Air Embolus,Thrombus|Calculus|Cyst
2026-03-05T01:41:37.746159,gpt-4o,set2,Ventricular tachycardia,Ventricular tachycardia,Disease or Syndrome,Fully defined,,,Monomorphic ventricular tachycardia,Supraventricular tachycardia|Junctional tachycardia
2026-03-05T01:41:39.327536,gpt-4o,set2,Apnea,Apnea,Finding,Primitive,,,,Hyperventilation|Hypoventilation|Tachypnea|Bradypnea
2026-03-05T01:41:44.365391,gpt-4o,set2,Cyanosis,Cyanosis,Finding,Fully defined,Sign or Symptom,Clinical History and Observation Findings,Peripheral Cyanosis|Central Cyanosis,Pallor|Jaundice|Erythema
2026-03-05T01:41:45.936645,gpt-4o,set2,Bronchitis,"Acute bronchitis, Chronic bronchitis",Disease or Syndrome,Fully defined,,,,
2026-03-05T01:41:47.667876,gpt-4o,set2,Hyperglycemia,Hyperglycemia,Finding,Primitive,,,Postprandial hyperglycemia,Glycosuria|Hyperinsulinemia
2026-03-05T01:41:49.484863,gpt-4o,set2,Blood in urine,Hematuria,Finding,Fully defined,Abnormal urine,Abnormal finding,Microscopic hematuria|Gross hematuria,Proteinuria|Pyuria|Glycosuria
2026-03-05T01:41:51.114401,gpt-4o,set2,Oliguria,Oliguria,Clinical finding,Fully defined,,,,Polyuria|Nocturia|Dysuria
2026-03-05T01:41:52.950350,gpt-4o,set2,Polyuria,Polyuria,Finding,Primitive,,,,Oliguria|Anuria|Nocturia|Dysuria
2026-03-05T01:41:54.673801,gpt-4o,set2,Necrosis,Necrosis,Pathologic Function,Fully defined,,,Coagulative Necrosis|Liquefactive Necrosis|Caseous Necrosis|Fat Necrosis|Fibrinoid Necrosis|Gangrenous Necrosis,Apoptosis|Autophagy|Pyroptosis|Ferroptosis
2026-03-05T01:41:57.348356,gpt-4o,set2,Ischemia,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Circulatory System Process,Physiological Phenomena,Myocardial Ischemia|Cerebral Ischemia|Renal Ischemia,Hypoxia|Infarction|Hemorrhage
2026-03-05T01:41:59.030496,gpt-4o,set2,Sepsis,Sepsis,Disease or Syndrome,Fully defined,Systemic inflammatory response syndrome,Inflammatory response,Severe sepsis|Septic shock,Systemic inflammatory response syndrome due to non-infectious process|Bacteremia|Systemic inflammatory response syndrome due to infectious process
2026-03-05T01:42:00.922231,gpt-4o,set2,Malignant,Malignant Neoplasm,Disease or Syndrome,Fully defined,,,Malignant Lymphoma|Malignant Melanoma|Malignant Carcinoma,Benign Neoplasm|Neoplasm of Uncertain Behavior
2026-03-05T01:42:03.340687,gpt-4o,set2,Benign,Benign (qualifier value),Qualifier value,Primitive,,,,Malignant (qualifier value)|Uncertain behavior (qualifier value)|Indolent (qualifier value)
2026-03-05T01:42:05.049127,gpt-4o,set2,Abscess,Abscess,Pathologic Function,Fully defined,Inflammatory Lesion,Lesion,Brain Abscess|Liver Abscess|Lung Abscess|Skin Abscess,Cyst|Granuloma|Ulcer
2026-03-05T01:42:07.719237,gpt-4o,set2,Edema,Edema,Finding,Fully defined,,,Cerebral edema|Peripheral edema,Pain|Inflammation
2026-03-05T01:42:09.983966,gpt-4o,set2,Intubation,Endotracheal intubation,Therapeutic or Preventive Procedure,Fully defined,Airway Management,Medical Procedure,Orotracheal Intubation|Nasotracheal Intubation,Tracheostomy|Cricothyrotomy|Laryngeal Mask Airway Insertion
2026-03-05T01:42:12.108686,gpt-4o,set2,Biopsy,Biopsy,Diagnostic Procedure,Primitive,,,Open Biopsy|Excisional Biopsy|Incisional Biopsy,Imaging|Laboratory Test
2026-03-05T01:42:13.942183,gpt-4o,set2,Venipuncture,Venipuncture procedure,Therapeutic or Preventive Procedure,Fully defined,Blood collection procedure|Vascular access procedure,Diagnostic procedure|Medical procedure,Peripheral venipuncture|Central venipuncture,Arterial puncture|Capillary blood sampling|Phlebotomy
2026-03-05T01:42:15.635184,gpt-4o,set2,Laparotomy,Exploratory Laparotomy,Medical Procedure,Fully defined,,,Therapeutic Laparotomy,Cholecystectomy|Colectomy|Gastrectomy
2026-03-05T01:42:17.649001,gpt-4o,set2,Opening of chest,Thoracotomy,Therapeutic or Preventive Procedure,Fully defined,,,Median sternotomy|Clamshell thoracotomy,Craniotomy|Arthrotomy
2026-03-05T01:42:19.927567,gpt-4o,set2,Cholecystectomy,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Surgical Procedure|Excision,Procedure|Operation,Laparoscopic Cholecystectomy|Open Cholecystectomy,Appendectomy|Gastrectomy|Colectomy
2026-03-05T01:42:21.830165,gpt-4o,set2,Cardiopulmonary resuscitation,Cardiopulmonary Resuscitation,Therapeutic or Preventive Procedure,Fully defined,,,Conventional CPR|Pediatric CPR,Advanced Cardiac Life Support (ACLS)|Basic Life Support (BLS)
2026-03-05T01:42:23.284552,gpt-4o,set2,Triage,Triage,Process,Fully defined,Emergency management|Patient assessment,Healthcare|Crisis management,Mass casualty triage|Emergency department triage|Battlefield triage,Diagnosis|Treatment planning|Risk assessment
2026-03-05T01:42:24.441631,gpt-4o,set2,Proximal,Proximal,Spatial relation,Primitive,,,,
2026-03-05T01:42:26.271543,gpt-4o,set2,Distal,,,,,,,
2026-03-05T01:42:27.729385,gpt-4o,set2,Chronic,Chronic,Temporal Concept,Primitive,Time,Entity,Chronic Disease|Chronic Condition,Acute|Subacute
